"count","avg_woba","wRAA"
"4-2",0.7,0.311252992817239
"3-0",0.550979714153988,0.192322198047875
"3-1",0.501533208355651,0.152859703396369
"2-0",0.429464141168852,0.0953424909567855
"3-2",0.383116925486102,0.0583534920080623
"1-0",0.352279477886476,0.033742600069015
"2-1",0.350122140795026,0.0320208625658623
"0-0",0.309748427672956,-0.00020077599923706
"1-1",0.285486820266127,-0.0195635911682949
"0-1",0.251669727121322,-0.046552492321371
"2-2",0.242653310168928,-0.0537483558109117
"1-2",0.197747868598343,-0.0895866970484098
"0-2",0.173934961365233,-0.108591411520165
"Home Run",2,1.46067415730337
"Triple",1.6,1.11495246326707
"Double",1.25,0.812445980985307
"Error",0.9,0.509939498703544
"Single",0.9,0.509939498703544
"HBP",0.7,0.337078651685393
"Walk",0.7,0.337078651685393
"Force Out",0.197062750333778,-0.097612143186017
"Sac Bunt",0.0723214285714286,-0.205426595876034
"Sac Fly",0.00228716645489199,-0.265957505224812
"Strike Out",0.00151061023858051,-0.266628686051357
"Double Play",0,-0.267934312878133
"Field Out",0,-0.267934312878133
